Date,Nationality,Pending further review,Pending initial decision (6 months or less),Pending initial decision (more than 6 months)
2010-06-30,Oman,1,,
2010-06-30,Other and unknown,2,1,2
2010-06-30,Pakistan,992,236,332
2010-06-30,Philippines,5,1,4
2010-06-30,Refugee,1,,2
2010-06-30,Russia,41,13,28
2010-06-30,Rwanda,20,5,15
2010-06-30,Saudi Arabia,3,5,6
2010-06-30,Senegal,11,9,3
2010-06-30,Seychelles,1,,
2010-06-30,Sierra Leone,58,21,28
2010-06-30,Somalia,363,118,318
2010-06-30,South Africa,71,29,50
2010-06-30,Sri Lanka,828,199,518
2010-06-30,St. Kitts and Nevis,1,,
2010-06-30,St. Lucia,1,1,
2010-06-30,St. Vincent and the Grenadines,3,3,
2010-06-30,Stateless,21,15,7
2010-06-30,Sudan,87,93,60
2010-06-30,Swaziland,1,,2
2010-06-30,Syria,73,19,40
2010-06-30,Taiwan,1,,
2010-06-30,Tanzania,10,5,17
2010-06-30,Thailand,5,3,3
2010-06-30,Togo,9,4,4
2010-06-30,Trinidad and Tobago,2,2,15
2010-06-30,Tunisia,6,2,3
2010-06-30,Turkey,102,35,96
2010-06-30,Uganda,102,41,36
2010-06-30,Ukraine,10,8,14
2010-06-30,United Arab Emirates,1,,7
2010-06-30,United States,8,5,4
2010-06-30,Uzbekistan,9,7,1
2010-06-30,Venezuela,2,3,2
2010-06-30,Vietnam,35,83,80
2010-06-30,Yemen,23,5,6
2010-06-30,Zambia,8,7,9
2010-06-30,Zimbabwe,1503,358,313
2010-06-30,Bulgaria,,2,9
2010-06-30,Dominican Republic,,2,
2010-06-30,France,,1,1
2010-06-30,Guatemala,,1,
2010-06-30,Guinea-Bissau,,1,2
2010-06-30,Indonesia,,1,
2010-06-30,Ireland,,1,
2010-06-30,Kazakhstan,,3,1
2010-06-30,Kyrgyzstan,,7,4
2010-06-30,Lesotho,,2,
2010-06-30,Montenegro,,1,
2010-06-30,Netherlands,,1,1
2010-06-30,Serbia,,1,1
2010-06-30,Sweden,,1,
2010-06-30,Western Sahara,,1,5
2010-06-30,Antigua and Barbuda,,,2
2010-06-30,Bahrain,,,1
2010-06-30,Central African Republic,,,1
2010-06-30,Czech Republic,,,2
2010-06-30,Ecuador,,,8
2010-06-30,Fiji,,,2
2010-06-30,French Guiana,,,1
2010-06-30,Haiti,,,1
2010-06-30,Honduras,,,10
2010-06-30,Japan,,,1
2010-06-30,Latvia,,,1
2010-06-30,Niger,,,3
2010-06-30,Poland,,,1
2010-06-30,Romania,,,9
2010-06-30,Tuvalu,,,1
2010-09-30,Afghanistan,740,268,561
2010-09-30,Albania,52,44,35
2010-09-30,Algeria,71,40,52
2010-09-30,Angola,34,17,26
2010-09-30,Armenia,4,9,5
2010-09-30,Azerbaijan,7,2,4
2010-09-30,Bangladesh,104,64,67
2010-09-30,Belarus,12,2,2
2010-09-30,Benin,2,1,3
2010-09-30,Bhutan,6,3,4
2010-09-30,Bolivia,4,2,4
2010-09-30,Bosnia and Herzegovina,10,,13
2010-09-30,Botswana,1,3,6
2010-09-30,Brazil,8,4,7
2010-09-30,British overseas citizens,2,2,2
2010-09-30,Burkina,3,,
2010-09-30,Burma,84,18,8
2010-09-30,Burundi,2,2,7
2010-09-30,Cameroon,35,13,29
2010-09-30,Chad,5,2,1
2010-09-30,Chile,2,,
2010-09-30,China,382,163,498
2010-09-30,Colombia,4,3,6
2010-09-30,Congo,6,14,10
2010-09-30,Congo (Democratic Republic),123,53,76
2010-09-30,Croatia,1,,2
2010-09-30,Cuba,11,,1
2010-09-30,Egypt,40,15,14
2010-09-30,Eritrea,139,120,204
2010-09-30,Ethiopia,48,16,31
2010-09-30,Gabon,1,,
2010-09-30,"Gambia, The",146,54,26
2010-09-30,Georgia,34,3,8
2010-09-30,Ghana,63,24,28
2010-09-30,Grenada,1,,
2010-09-30,Guatemala,1,,
2010-09-30,Guinea,32,9,31
2010-09-30,Guinea-Bissau,3,1,
2010-09-30,Guyana,3,,1
2010-09-30,Haiti,1,,
2010-09-30,India,84,85,135
2010-09-30,Indonesia,1,,
2010-09-30,Iran,770,366,339
2010-09-30,Iraq,410,61,312
2010-09-30,Ireland,1,,
2010-09-30,Israel,9,1,12
2010-09-30,Ivory Coast,24,19,21
2010-09-30,Jamaica,46,40,51
2010-09-30,Jordan,8,7,1
2010-09-30,Kazakhstan,1,3,1
2010-09-30,Kenya,46,33,22
2010-09-30,Korea (North),88,8,44
2010-09-30,Kosovo,13,6,8
2010-09-30,Kuwait,31,16,22
2010-09-30,Kyrgyzstan,10,3,1
2010-09-30,Lebanon,29,13,9
2010-09-30,Lesotho,2,,
2010-09-30,Liberia,6,6,4
2010-09-30,Libya,53,6,22
2010-09-30,Malawi,93,41,19
2010-09-30,Malaysia,13,2,11
2010-09-30,Mali,3,4,1
2010-09-30,Mauritania,6,1,1
2010-09-30,Mauritius,13,7,11
2010-09-30,Mexico,1,,1
2010-09-30,Mongolia,22,8,11
2010-09-30,Morocco,5,12,14
2010-09-30,Mozambique,1,,
2010-09-30,Namibia,1,,3
2010-09-30,Nepal,9,5,
2010-09-30,Nicaragua,2,,
2010-09-30,Niger,2,,1
2010-09-30,Nigeria,330,173,166
2010-09-30,Occupied Palestinian Territories,104,42,62
2010-09-30,Other and unknown,1,2,2
2010-09-30,Pakistan,857,239,240
2010-09-30,Philippines,5,4,3
2010-09-30,Russia,33,17,22
2010-09-30,Rwanda,13,5,15
2010-09-30,Saudi Arabia,4,3,5
2010-09-30,Senegal,11,5,3
2010-09-30,Serbia,5,,2
2010-09-30,Seychelles,1,,
2010-09-30,Sierra Leone,41,24,25
2010-09-30,Somalia,260,90,223
2010-09-30,South Africa,59,25,38
2010-09-30,Sri Lanka,722,204,385
2010-09-30,St. Lucia,1,,
2010-09-30,St. Vincent and the Grenadines,1,3,
2010-09-30,Stateless,24,15,4
2010-09-30,Sudan,73,114,50
2010-09-30,Swaziland,1,1,1
2010-09-30,Syria,45,17,33
2010-09-30,Tanzania,14,4,15
2010-09-30,Thailand,1,2,2
2010-09-30,Togo,12,2,4
2010-09-30,Trinidad and Tobago,6,3,11
2010-09-30,Tunisia,8,3,2
2010-09-30,Turkey,83,44,82
2010-09-30,Turkmenistan,2,,
2010-09-30,Uganda,85,41,38
2010-09-30,Ukraine,10,6,9
2010-09-30,United Arab Emirates,2,,5
2010-09-30,United States,7,1,5
2010-09-30,Uzbekistan,8,,
2010-09-30,Venezuela,3,4,2
2010-09-30,Vietnam,45,62,74
2010-09-30,Western Sahara,2,2,4
2010-09-30,Yemen,17,4,6
2010-09-30,Zambia,16,5,9
2010-09-30,Zimbabwe,1043,257,269
2010-09-30,Bahrain,,1,1
2010-09-30,Barbados,,1,
2010-09-30,Canada,,1,
2010-09-30,Djibouti,,1,2
2010-09-30,Ecuador,,6,5
2010-09-30,El Salvador,,2,
2010-09-30,Former Yugoslavia,,1,3
2010-09-30,Italy,,1,
2010-09-30,Lithuania,,2,
2010-09-30,Macau,,2,
2010-09-30,Moldova,,1,4
2010-09-30,Poland,,4,1
2010-09-30,Romania,,1,9
2010-09-30,Tajikistan,,1,
2010-09-30,Antigua and Barbuda,,,2
2010-09-30,Bulgaria,,,8
2010-09-30,Czech Republic,,,2
2010-09-30,Dominica,,,1
2010-09-30,Fiji,,,1
2010-09-30,France,,,1
2010-09-30,Honduras,,,10
2010-09-30,Hong Kong,,,2
2010-09-30,Japan,,,1
2010-09-30,Korea (South),,,2
2010-09-30,Latvia,,,1
2010-09-30,Macedonia,,,18
2010-09-30,Netherlands,,,1
2010-09-30,Refugee,,,2
2010-09-30,Tuvalu,,,1
2010-12-31,Afghanistan,734,288,636
2010-12-31,Albania,71,29,23
2010-12-31,Algeria,54,63,50
2010-12-31,Angola,31,12,19
2010-12-31,Antigua and Barbuda,1,,
2010-12-31,Armenia,9,4,4
2010-12-31,Azerbaijan,11,,
2010-12-31,Bangladesh,94,52,63
2010-12-31,Belarus,8,7,2
2010-12-31,Belize,3,,
2010-12-31,Benin,4,,
2010-12-31,Bhutan,3,5,3
2010-12-31,Bolivia,1,3,5
2010-12-31,Bosnia and Herzegovina,5,,12
2010-12-31,Botswana,9,1,4
2010-12-31,Brazil,5,,7
2010-12-31,British overseas citizens,1,,2
2010-12-31,Burkina,1,1,
2010-12-31,Burma,78,17,6
2010-12-31,Burundi,2,5,5
2010-12-31,Cameroon,42,22,17
2010-12-31,Canada,1,,
2010-12-31,Chad,4,5,1
2010-12-31,China,374,167,413
2010-12-31,Colombia,4,2,6
2010-12-31,Congo,15,7,10
2010-12-31,Congo (Democratic Republic),137,39,62
2010-12-31,Croatia,1,,1
2010-12-31,Cuba,10,,1
2010-12-31,Ecuador,3,4,5
2010-12-31,Egypt,33,26,11
2010-12-31,Eritrea,140,123,190
2010-12-31,Ethiopia,49,11,24
2010-12-31,Gabon,1,,
2010-12-31,"Gambia, The",118,63,22
2010-12-31,Georgia,26,13,5
2010-12-31,Ghana,45,17,22
2010-12-31,Guatemala,1,,
2010-12-31,Guinea,44,16,23
2010-12-31,Guyana,1,,1
2010-12-31,Haiti,1,,
2010-12-31,India,86,81,100
2010-12-31,Iran,826,343,286
2010-12-31,Iraq,365,88,235
2010-12-31,Ireland,3,,
2010-12-31,Ivory Coast,37,11,15
2010-12-31,Jamaica,49,46,43
2010-12-31,Jordan,3,6,1
2010-12-31,Kazakhstan,1,,3
2010-12-31,Kenya,33,19,22
2010-12-31,Korea (North),54,7,38
2010-12-31,Korea (South),2,1,2
2010-12-31,Kosovo,10,4,5
2010-12-31,Kuwait,24,13,21
2010-12-31,Kyrgyzstan,7,2,2
2010-12-31,Lebanon,29,7,6
2010-12-31,Liberia,6,3,6
2010-12-31,Libya,41,11,12
2010-12-31,Madagascar,1,,
2010-12-31,Malawi,61,40,15
2010-12-31,Malaysia,12,6,4
2010-12-31,Mali,4,1,1
2010-12-31,Mauritania,4,1,1
2010-12-31,Mauritius,9,17,7
2010-12-31,Mexico,1,2,1
2010-12-31,Moldova,2,,3
2010-12-31,Mongolia,15,8,13
2010-12-31,Morocco,4,13,14
2010-12-31,Namibia,2,2,2
2010-12-31,Nepal,9,8,
2010-12-31,Nicaragua,2,,
2010-12-31,Niger,3,,1
2010-12-31,Nigeria,346,179,128
2010-12-31,Occupied Palestinian Territories,78,31,47
2010-12-31,Other and unknown,1,7,2
2010-12-31,Pakistan,825,297,193
2010-12-31,Philippines,5,1,3
2010-12-31,Poland,1,4,1
2010-12-31,Refugee,1,,2
2010-12-31,Romania,1,1,5
2010-12-31,Russia,38,16,24
2010-12-31,Rwanda,4,5,16
2010-12-31,Saudi Arabia,3,,8
2010-12-31,Senegal,20,3,1
2010-12-31,Serbia,6,1,3
2010-12-31,Seychelles,1,,
2010-12-31,Sierra Leone,35,16,29
2010-12-31,Somalia,239,86,179
2010-12-31,South Africa,55,26,36
2010-12-31,Sri Lanka,769,247,289
2010-12-31,St. Lucia,1,,
2010-12-31,St. Vincent and the Grenadines,1,,
2010-12-31,Stateless,41,42,2
2010-12-31,Sudan,91,93,51
2010-12-31,Swaziland,1,1,2
2010-12-31,Syria,57,23,19
2010-12-31,Taiwan,1,,
2010-12-31,Tanzania,14,2,9
2010-12-31,Togo,6,,3
2010-12-31,Trinidad and Tobago,16,4,3
2010-12-31,Tunisia,6,4,2
2010-12-31,Turkey,77,52,83
2010-12-31,Uganda,87,48,36
2010-12-31,Ukraine,13,8,7
2010-12-31,United Arab Emirates,1,,1
2010-12-31,Uzbekistan,6,,
2010-12-31,Vietnam,44,51,62
2010-12-31,Western Sahara,7,4,1
2010-12-31,Yemen,23,6,5
2010-12-31,Zambia,17,3,2
2010-12-31,Zimbabwe,824,127,250
2010-12-31,Bahrain,,3,1
2010-12-31,Belgium,,1,
2010-12-31,Cyprus (Northern part of),,1,
2010-12-31,Djibouti,,1,2
2010-12-31,Dominica,,1,1
2010-12-31,Dominican Republic,,1,
2010-12-31,France,,1,2
2010-12-31,Israel,,1,10
2010-12-31,Italy,,1,
2010-12-31,Laos,,1,
2010-12-31,Latvia,,1,1
2010-12-31,Lithuania,,1,
2010-12-31,Macedonia,,1,15
2010-12-31,Oman,,1,
2010-12-31,Sweden,,1,
2010-12-31,Tajikistan,,1,
2010-12-31,United States,,6,4
2010-12-31,Venezuela,,4,3
2010-12-31,Bulgaria,,,4
2010-12-31,Czech Republic,,,2
2010-12-31,Fiji,,,1
2010-12-31,Former Yugoslavia,,,1
2010-12-31,Honduras,,,10
2010-12-31,Hong Kong,,,2
2010-12-31,Japan,,,1
2010-12-31,Netherlands,,,1
2010-12-31,Thailand,,,2
2010-12-31,Tuvalu,,,1
2011-03-31,Afghanistan,1012,261,562
2011-03-31,Albania,77,41,29
2011-03-31,Algeria,88,80,47
2011-03-31,Angola,34,13,18
2011-03-31,Antigua and Barbuda,1,,
2011-03-31,Armenia,10,7,7
2011-03-31,Azerbaijan,13,4,1
2011-03-31,Bangladesh,132,58,52
2011-03-31,Belarus,11,5,2
2011-03-31,Belize,5,,
2011-03-31,Benin,3,2,
2011-03-31,Bhutan,5,2,3
2011-03-31,Bolivia,5,8,5
2011-03-31,Bosnia and Herzegovina,6,3,12
2011-03-31,Botswana,5,9,4
2011-03-31,Brazil,5,1,6
2011-03-31,British overseas citizens,14,4,5
2011-03-31,Bulgaria,5,1,3
2011-03-31,Burkina,2,,
2011-03-31,Burma,92,5,7
2011-03-31,Burundi,3,4,5
2011-03-31,Cameroon,37,26,17
2011-03-31,Canada,2,,
2011-03-31,Chad,7,3,1
2011-03-31,China,618,199,333
2011-03-31,Colombia,11,4,8
2011-03-31,Congo,12,3,9
2011-03-31,Congo (Democratic Republic),151,42,56
2011-03-31,Croatia,2,,1
2011-03-31,Cuba,14,,1
2011-03-31,Dominica,1,1,
2011-03-31,Dominican Republic,1,,
2011-03-31,Ecuador,4,1,3
2011-03-31,Egypt,59,17,12
2011-03-31,Eritrea,202,92,280
2011-03-31,Ethiopia,55,19,23
2011-03-31,Fiji,1,,
2011-03-31,"Gambia, The",156,52,32
2011-03-31,Georgia,38,7,10
2011-03-31,Ghana,43,20,22
2011-03-31,Grenada,2,1,
2011-03-31,Guinea,40,12,22
2011-03-31,Guinea-Bissau,2,,
2011-03-31,Haiti,1,,
2011-03-31,Hong Kong,1,,1
2011-03-31,India,128,92,92
2011-03-31,Iran,906,332,263
2011-03-31,Iraq,395,106,218
2011-03-31,Ireland,2,,
2011-03-31,Ivory Coast,50,38,18
2011-03-31,Jamaica,57,53,47
2011-03-31,Jordan,6,4,3
2011-03-31,Kazakhstan,1,,3
2011-03-31,Kenya,43,28,25
2011-03-31,Korea (North),68,2,32
2011-03-31,Korea (South),1,1,1
2011-03-31,Kosovo,14,3,7
2011-03-31,Kuwait,31,10,13
2011-03-31,Kyrgyzstan,4,3,1
2011-03-31,Laos,1,,
2011-03-31,Lebanon,19,5,7
2011-03-31,Lesotho,2,,
2011-03-31,Liberia,9,2,5
2011-03-31,Libya,58,96,10
2011-03-31,Lithuania,1,1,
2011-03-31,Macedonia,3,2,7
2011-03-31,Madagascar,1,,
2011-03-31,Malawi,104,28,23
2011-03-31,Malaysia,10,6,5
2011-03-31,Mali,4,4,1
2011-03-31,Mauritania,1,,1
2011-03-31,Mauritius,12,10,6
2011-03-31,Mongolia,21,17,7
2011-03-31,Morocco,19,16,15
2011-03-31,Mozambique,1,,
2011-03-31,Namibia,6,,2
2011-03-31,Nepal,13,9,1
2011-03-31,Nicaragua,2,1,
2011-03-31,Niger,2,1,
2011-03-31,Nigeria,494,194,129
2011-03-31,Occupied Palestinian Territories,97,32,44
2011-03-31,Oman,1,,
2011-03-31,Other and unknown,2,1,1
2011-03-31,Pakistan,1086,388,199
2011-03-31,Peru,1,,
2011-03-31,Philippines,2,2,
2011-03-31,Poland,1,,2
2011-03-31,Refugee,24,20,4
2011-03-31,Russia,66,12,20
2011-03-31,Rwanda,16,3,14
2011-03-31,Saudi Arabia,4,6,9
2011-03-31,Senegal,25,6,2
2011-03-31,Seychelles,3,,
2011-03-31,Sierra Leone,50,19,22
2011-03-31,Somalia,289,119,170
2011-03-31,South Africa,67,23,20
2011-03-31,Sri Lanka,989,290,247
2011-03-31,Stateless,32,14,1
2011-03-31,Sudan,76,101,55
2011-03-31,Swaziland,2,1,1
2011-03-31,Syria,83,25,18
2011-03-31,Tanzania,8,7,4
2011-03-31,Thailand,2,2,1
2011-03-31,Togo,5,1,2
2011-03-31,Trinidad and Tobago,19,1,2
2011-03-31,Tunisia,12,6,3
2011-03-31,Turkey,117,72,68
2011-03-31,Uganda,101,56,40
2011-03-31,Ukraine,17,7,5
2011-03-31,United Arab Emirates,2,1,1
2011-03-31,United States,2,12,3
2011-03-31,Uzbekistan,4,5,
2011-03-31,Venezuela,2,1,
2011-03-31,Vietnam,39,60,53
2011-03-31,Western Sahara,3,1,1
2011-03-31,Yemen,16,8,4
2011-03-31,Zambia,13,2,7
2011-03-31,Zimbabwe,1088,157,220
2011-03-31,Bahrain,,1,
2011-03-31,France,,1,2
2011-03-31,Guyana,,1,1
2011-03-31,Israel,,1,11
2011-03-31,Italy,,1,1
2011-03-31,Japan,,1,1
2011-03-31,Mexico,,1,1
2011-03-31,St. Lucia,,1,
2011-03-31,St. Vincent and the Grenadines,,2,
2011-03-31,Surinam,,1,
2011-03-31,Taiwan,,1,
2011-03-31,Czech Republic,,,2
2011-03-31,Djibouti,,,2
2011-03-31,Former Yugoslavia,,,2
2011-03-31,Honduras,,,9
2011-03-31,Latvia,,,1
2011-03-31,Moldova,,,2
2011-03-31,Netherlands,,,1
2011-03-31,Portugal,,,1
2011-03-31,Romania,,,5
2011-03-31,Serbia,,,2
2011-03-31,Slovakia,,,1
2011-03-31,Tajikistan,,,1
2011-03-31,Tuvalu,,,1
2011-06-30,Afghanistan,897,316,451
2011-06-30,Albania,69,45,23
2011-06-30,Algeria,92,73,48
2011-06-30,Angola,20,8,17
2011-06-30,Argentina,1,,
2011-06-30,Armenia,8,3,9
2011-06-30,Australia,3,1,
2011-06-30,Azerbaijan,13,3,
2011-06-30,Bahrain,17,45,
2011-06-30,Bangladesh,125,86,44
2011-06-30,Belarus,10,3,1
2011-06-30,Belize,4,,
2011-06-30,Benin,1,2,
2011-06-30,Bhutan,4,4,3
2011-06-30,Bolivia,12,5,5
2011-06-30,Bosnia and Herzegovina,6,3,11
2011-06-30,Botswana,11,3,3
2011-06-30,Brazil,11,4,
2011-06-30,British overseas citizens,6,2,5
2011-06-30,Burkina,2,1,
2011-06-30,Burma,69,14,4
2011-06-30,Burundi,2,5,6
2011-06-30,Cameroon,36,10,21
2011-06-30,Canada,1,2,
2011-06-30,Chad,3,,3
2011-06-30,China,473,172,323
2011-06-30,Colombia,12,4,8
2011-06-30,Congo,16,4,7
2011-06-30,Congo (Democratic Republic),135,27,50
2011-06-30,Croatia,1,1,1
2011-06-30,Cuba,6,,1
2011-06-30,Djibouti,2,,
2011-06-30,Dominica,1,,
2011-06-30,Ecuador,1,2,3
2011-06-30,Egypt,53,40,13
2011-06-30,Eritrea,174,130,253
2011-06-30,Ethiopia,47,13,21
2011-06-30,"Gambia, The",141,45,26
2011-06-30,Georgia,39,9,7
2011-06-30,Ghana,42,23,19
2011-06-30,Grenada,2,1,
2011-06-30,Guinea,29,23,19
2011-06-30,Guinea-Bissau,2,1,
2011-06-30,Haiti,1,,
2011-06-30,Honduras,10,,
2011-06-30,Hong Kong,1,,1
2011-06-30,India,126,89,84
2011-06-30,Iran,809,402,258
2011-06-30,Iraq,319,68,211
2011-06-30,Ireland,2,,
2011-06-30,Israel,1,1,6
2011-06-30,Ivory Coast,86,37,9
2011-06-30,Jamaica,46,43,55
2011-06-30,Jordan,4,3,3
2011-06-30,Kazakhstan,1,,3
2011-06-30,Kenya,64,23,20
2011-06-30,Korea (North),51,9,24
2011-06-30,Kosovo,10,2,6
2011-06-30,Kuwait,33,11,7
2011-06-30,Kyrgyzstan,5,,1
2011-06-30,Lebanon,26,6,5
2011-06-30,Liberia,10,1,5
2011-06-30,Libya,325,297,11
2011-06-30,Macedonia,1,5,7
2011-06-30,Malawi,68,31,25
2011-06-30,Malaysia,17,9,2
2011-06-30,Mali,3,,1
2011-06-30,Mauritania,1,,1
2011-06-30,Mauritius,8,1,6
2011-06-30,Mexico,1,,1
2011-06-30,Mongolia,19,12,3
2011-06-30,Morocco,27,22,8
2011-06-30,Mozambique,1,,
2011-06-30,Namibia,7,1,1
2011-06-30,Nauru,1,,
2011-06-30,Nepal,11,2,2
2011-06-30,Nicaragua,2,,
2011-06-30,Niger,2,1,
2011-06-30,Nigeria,446,221,121
2011-06-30,Occupied Palestinian Territories,88,32,40
2011-06-30,Oman,1,,
2011-06-30,Other and unknown,1,,1
2011-06-30,Pakistan,1212,509,198
2011-06-30,Philippines,2,2,
2011-06-30,Poland,1,1,2
2011-06-30,Refugee,14,25,2
2011-06-30,Russia,56,17,12
2011-06-30,Rwanda,12,10,12
2011-06-30,Saudi Arabia,3,3,9
2011-06-30,Senegal,27,9,2
2011-06-30,Seychelles,2,,
2011-06-30,Sierra Leone,43,23,23
2011-06-30,Somalia,243,126,150
2011-06-30,South Africa,54,17,17
2011-06-30,Sri Lanka,950,300,238
2011-06-30,St. Lucia,1,,
2011-06-30,St. Vincent and the Grenadines,1,,
2011-06-30,Stateless,44,20,1
2011-06-30,Sudan,77,108,47
2011-06-30,Surinam,1,,
2011-06-30,Swaziland,2,1,1
2011-06-30,Syria,81,46,14
2011-06-30,Tanzania,14,14,2
2011-06-30,Togo,3,4,2
2011-06-30,Trinidad and Tobago,16,1,1
2011-06-30,Tunisia,12,6,3
2011-06-30,Turkey,112,46,72
2011-06-30,Uganda,103,55,38
2011-06-30,Ukraine,5,5,6
2011-06-30,United Arab Emirates,2,,1
2011-06-30,United States,3,4,4
2011-06-30,Uzbekistan,4,5,
2011-06-30,Venezuela,2,,1
2011-06-30,Vietnam,38,84,50
2011-06-30,Western Sahara,2,1,1
2011-06-30,Yemen,16,16,9
2011-06-30,Zambia,14,5,4
2011-06-30,Zimbabwe,871,116,173
2011-06-30,Anguilla (British),,1,
2011-06-30,Cape Verde,,4,
2011-06-30,Estonia,,1,
2011-06-30,Guyana,,2,
2011-06-30,Indonesia,,8,
2011-06-30,Italy,,1,1
2011-06-30,Japan,,2,1
2011-06-30,Latvia,,1,1
2011-06-30,Lithuania,,1,
2011-06-30,Moldova,,1,2
2011-06-30,Serbia,,2,2
2011-06-30,Singapore,,1,
2011-06-30,Spain,,1,
2011-06-30,Taiwan,,1,
2011-06-30,Tajikistan,,1,1
2011-06-30,Thailand,,4,1
2011-06-30,Bulgaria,,,3
2011-06-30,Czech Republic,,,2
2011-06-30,Former Yugoslavia,,,2
2011-06-30,France,,,2
2011-06-30,Korea (South),,,2
2011-06-30,Netherlands,,,1
2011-06-30,Portugal,,,1
2011-06-30,Romania,,,4
2011-09-30,Afghanistan,781,339,371
2011-09-30,Albania,59,76,24
2011-09-30,Algeria,81,77,49
2011-09-30,Angola,17,7,14
2011-09-30,Argentina,1,,
